farmid,ly,lland,llabor,lfeed,lcattle,comp,TE_Score
31,12.465,5.081404,8.441823,11.1719,2.726545,7.0634178,0.8987444297197584
32,13.08533,5.828946,8.34284,12.2912,3.371425,9.001588,0.8586393507242274
33,12.32509,4.442651,8.072468,10.75427,2.632608,6.5775163,0.9314947477177203
34,12.48742,5.278115,8.186743,11.67661,2.839663,9.1378087,0.8117708359344911
35,12.51253,5.393628,8.301273,10.92843,2.753661,5.335814,0.935044174355501
36,12.12015,4.787492,8.093462,11.53485,2.712706,4.9030706,0.6652705248729466
37,11.71762,4.553877,7.774015,10.46329,2.381396,6.3282915,0.7023564462406949
38,12.90373,5.752573,7.93308,11.8493,3.332561,5.997451,0.8333187971168748
39,12.18057,5.181784,8.154788,11.16096,2.452728,6.05089,0.86433164948447
40,12.48119,5.298317,8.204398,11.45017,2.884242,8.6993772,0.807498275331185
41,13.21101,5.220356,8.104099,12.13466,3.493473,6.764015,0.9260762029262044
42,12.4491,4.976734,7.73587,11.03259,2.796061,6.7238024,0.9185261627239175
43,12.9923,5.342334,8.48941,11.73336,3.088767,6.5527711,0.9603799426135688
44,12.60513,4.905275,8.125631,11.40978,2.879199,6.3806752,0.9154278434308055
45,12.24366,5.365976,7.971086,11.52781,2.980619,5.8752191,0.6165284958506488
46,12.67219,5.411646,8.074649,11.56899,3.071767,6.8899983,0.8377526619630274
47,12.52728,5.003946,8.142645,11.65937,2.880883,8.8777798,0.8314717581835034
48,12.24544,4.61512,7.835975,11.28065,2.60417,7.0580312,0.8559324506795197
49,12.05968,5.170484,8.237215,11.27303,2.484907,5.3202858,0.7424379205159276
50,12.12069,4.744932,7.732369,10.74191,2.535283,5.2486623,0.8697870596228505
51,11.89342,5.117994,8.241703,10.65646,2.55955,5.8921462,0.6653280443435605
52,12.17558,4.70048,8.055158,10.96853,2.549445,7.653116,0.8517723448255948
53,11.41124,4.317488,7.618251,10.53273,2.151762,5.0715099,0.6302554423411502
54,12.42031,5.159055,8.035603,11.18428,2.731116,6.0016831,0.8928240172805456
55,12.15455,4.804021,7.822845,11.44213,2.458734,7.1877306,0.8458383483559039
56,12.6854,5.252274,8.306472,11.43937,3.006672,6.1322382,0.8832813813482836
57,12.9018,5.32301,7.532624,11.85145,3.121484,5.5711966,0.9528778307552863
58,12.90059,5.459586,8.245384,11.70802,2.974509,4.8104629,0.9643445249529954
59,12.90978,5.451038,8.570924,12.16292,3.29101,5.7243991,0.7825330545807057
60,12.76138,5.293305,8.029107,11.68047,3.086487,7.1756229,0.8872612917679841
61,12.65087,4.934474,8.190077,11.87849,3.117064,6.1509514,0.7667046824751744
62,12.76028,4.859812,8.104704,11.78071,2.78192,5.9806363,0.9693363986436557
63,12.82274,5.700444,8.026497,12.09241,3.12016,7.1560072,0.8557417746017405
64,12.16817,4.727388,8.2948,11.18765,2.332144,7.1115309,0.9132743048719806
65,12.40454,4.867535,7.59589,11.70756,2.759377,6.562241,0.8492980792008779
66,12.86834,5.192957,7.948739,11.65035,3.083743,6.3189287,0.9490995976620242
67,12.50932,5.043425,7.736307,11.74511,3.066191,5.2193883,0.7412510088820792
68,11.91371,4.574711,7.309212,11.08932,2.032088,5.7801692,0.9530948256094349
69,11.8806,4.219508,7.784473,11.39405,2.207175,8.3180711,0.8079313816813564
70,12.69897,5.370638,7.925158,11.50295,2.872999,4.803254,0.9513710736358222
71,12.77883,5.26269,8.066522,11.92907,3.171365,8.5544673,0.8238265284396711
72,12.43849,4.75359,7.948739,11.57689,2.786861,6.4695968,0.8498345036393322
73,12.29749,4.927254,7.559038,11.60528,2.463002,5.8035226,0.9312695581589405
74,11.59599,3.688879,7.575585,10.37212,1.675226,5.3131786,0.9678167681736657
75,11.88826,4.736198,7.682022,11.02507,2.269028,9.6703956,0.8166392486604372
76,12.10073,4.564348,7.544861,11.11962,2.494032,5.9705348,0.8535219341017121
77,12.42049,5.09375,8.006368,11.96951,2.935982,5.9352267,0.7031905270396861
78,12.63985,4.85203,8.154788,12.09082,3.04785,6.3519165,0.7761449005992024
79,12.2086,4.584968,7.765993,11.43013,2.665143,8.6327836,0.7850750922956629
80,12.34458,4.174387,8.222822,11.16229,2.502255,5.2616988,0.9485745025996827
81,12.74549,5.497168,8.24722,11.64218,3.367985,4.9968055,0.7117319040804203
82,13.07145,5.231109,8.076204,12.41647,3.480317,6.6042643,0.811957902943795
83,12.79683,5.123964,7.798934,12.12358,3.18387,7.5991923,0.8322632516348836
84,13.35127,5.799093,8.216899,12.21651,3.563316,5.1636399,0.9430501140385483
85,13.11463,5.214936,8.102283,12.28408,3.278276,6.3721221,0.9430793581122282
86,12.20024,4.448516,7.901007,11.12525,2.393339,6.8978459,0.9368538364807993
87,12.77144,5.043425,8.118505,12.24643,3.265759,6.2350929,0.7355616956559644
88,12.62674,4.795791,8.1934,11.58627,2.964242,5.3329919,0.8687382365607482
89,12.13314,4.75359,7.725771,11.22105,2.266958,6.6901641,0.9440848162619604
90,11.94866,4.672829,7.921898,11.21337,2.175887,5.5876279,0.8721115090244651
91,11.50819,4.406719,7.60589,10.77805,1.958685,12.332364,0.754661912160765
92,12.14737,4.543295,7.928766,11.45166,2.674838,6.1329792,0.7253176976368881
93,12.48049,4.890349,7.897296,11.57538,2.651833,6.5707486,0.9362370874826758
94,12.535,5.529429,7.856707,11.69601,2.92047,8.0552983,0.8190713699797213
95,12.58454,4.828314,8.517793,11.72756,2.606387,5.3202131,0.9529838898152194
96,11.74842,4.532599,8.111928,10.71819,1.950187,8.8529626,0.8941658557560017
97,12.29666,4.672829,7.452403,11.31282,2.670694,5.6530336,0.8809465834064224
98,11.7267,4.219508,7.729735,10.78629,2.018895,7.9003618,0.8733487346309773
99,13.03413,5.187386,8.24144,12.03848,3.292498,6.5465579,0.9132966932342278
100,12.95653,5.313206,7.97074,12.12224,3.347797,8.493492,0.8408598964631595
101,11.86906,4.127134,7.63868,10.76149,2.029463,5.2522708,0.950636151800353
102,12.71068,5.187386,7.82963,12.06281,3.135059,5.912118,0.7990865091980127
103,12.0389,4.976734,7.818028,11.34988,2.607124,4.2285369,0.69579295050907
104,12.53546,4.442651,7.898782,11.93743,2.787477,7.3214823,0.8890372133003402
105,12.90961,4.820282,8.19864,11.98742,3.205588,4.5844466,0.8936168868996477
106,12.76482,4.941642,8.066522,11.41829,2.871302,5.5991565,0.9688654528356806
107,12.55838,4.976734,8.094073,11.49651,2.958549,7.9196758,0.8354566147097288
108,12.0419,4.584968,7.700748,11.15398,2.4681,6.8017063,0.8078711014488635
109,12.61185,4.94876,8.275886,11.32963,3.033991,5.3298428,0.8393822581265841
110,12.88468,5.278115,8.153925,11.84754,3.150169,7.399366,0.9096420840410357
111,12.28761,4.584968,7.908387,11.3331,2.506342,6.8860564,0.920170272187477
112,12.84549,5.26269,8.423322,11.85281,3.18387,5.8558357,0.8466484242028227
113,12.82297,5.220356,8.277412,12.23373,3.123686,8.7456643,0.8310257334922189
114,12.72394,4.94876,7.899895,11.95282,3.033028,7.1776893,0.8776657202963303
115,12.0591,5.01728,7.74327,11.12357,2.550226,10.534029,0.7652228545534033
116,13.08695,5.620401,8.016977,11.93079,3.403195,5.3678194,0.9105222305161085
117,12.71264,4.875197,8.216088,11.75894,3.262701,10.473856,0.7472998127544872
118,13.00655,5.288267,8.206038,12.04288,3.314186,7.13603,0.8859514787265709
119,12.20653,4.770685,7.941651,11.2147,2.623218,8.7263308,0.8122105588185599
120,11.45188,4.584968,7.438384,10.6871,2.21266,5.1226628,0.618746039991527
121,12.88374,5.583496,7.903965,12.1953,3.442659,9.7608604,0.7295184695634038
122,12.18101,5.049856,7.877397,11.31609,2.525729,5.7097613,0.8322059450727936
123,11.9579,4.564348,7.670429,11.3187,2.217027,5.1835376,0.8670118781512456
124,12.56957,4.927254,7.87093,11.29004,2.895359,5.3456816,0.9144112840687184
125,12.44774,4.941642,7.997999,11.12857,2.800325,6.7083651,0.890846202500482
126,11.52876,4.727388,7.705263,10.8505,2.234306,4.9209663,0.6189532517961595
127,12.52817,4.804021,7.881182,11.4378,2.791778,6.6550831,0.9227277936451868
128,12.72631,5.455321,7.889459,11.92267,3.348148,5.9401194,0.7058162545922569
129,12.54691,4.990433,7.585789,11.76835,2.793616,5.7284483,0.9170802753601639
130,13.28553,5.966147,8.551595,12.29058,3.638901,9.9032722,0.8387612275102984
131,12.73371,4.70048,8.004031,11.55879,2.903617,6.7166661,0.9567343039432895
132,12.32203,4.70048,7.731053,11.58368,2.756205,4.6392757,0.7994029950418722
133,12.48563,4.927254,7.930206,11.2064,2.832625,7.1527159,0.8966892135526082
134,12.7043,4.934474,7.982416,11.26461,2.960623,6.0217742,0.9478531168363927
135,12.91227,5.170484,8.252967,11.816,3.37827,7.2798239,0.809546376014438
136,12.31116,4.983607,7.693481,10.97796,2.48574,5.4408125,0.9580846289201761
137,12.79421,5.153292,8.25062,11.82094,3.12676,7.9845651,0.8606224665886442
138,12.83102,5.31812,8.383662,11.97929,3.353057,5.3080332,0.7343780852820898
139,13.17083,5.877736,8.108624,12.17763,3.553632,7.0673415,0.8520331680353898
140,13.23663,5.986452,8.170186,12.22885,3.420019,4.897668,0.9387137290440064
141,12.34097,5.624018,8.217439,11.9327,3.129826,5.5136921,0.5555917880760485
142,12.84154,5.17615,8.083328,11.75614,3.306154,7.4351425,0.8173953883056229
143,12.99156,5.717028,8.13564,11.91912,3.485232,5.7584937,0.7913474432180481
144,12.83073,5.484797,7.816417,11.65733,2.973487,6.0108312,0.9611935664040153
145,13.1501,5.529429,8.36637,11.98958,3.437208,6.7972631,0.9071609768304681
146,12.97631,5.575949,8.374016,12.07065,3.426865,6.011847,0.7798840756931342
147,12.45018,5.209486,8.087026,11.35721,2.794839,7.22849,0.8561964089178604
148,11.98042,4.820282,8.234035,11.28604,2.636196,4.9889347,0.6308027521282384
149,12.98508,5.209486,8.259459,11.64619,3.157851,5.6087331,0.956864327426494
150,12.95846,5.793014,8.187856,11.98989,3.243373,7.2787354,0.8833344301002696
151,12.23902,5.135798,8.193677,11.33423,2.656757,13.253795,0.7746261574578648
152,12.78657,5.32301,8.420682,11.91751,3.315639,5.3191603,0.7272985647198534
153,13.26459,5.793014,8.309923,12.0054,3.444576,6.2135014,0.9514934037856165
154,12.66206,4.890349,8.320691,11.6413,2.997231,6.1315245,0.8576799615289784
155,13.1178,5.293305,8.618124,12.10298,3.357594,6.1505623,0.9017253353505577
156,13.29758,5.231109,8.319961,12.24703,3.501947,5.5766251,0.9422506581926824
157,12.78656,5.220356,8.219865,11.44059,3.036394,5.9365687,0.9333265431420124
158,13.1893,5.572154,8.474703,12.27921,3.435921,7.173323,0.8951996348156858
159,12.88255,5.549076,7.818832,11.93177,3.05164,6.5358882,0.9470361549376438
160,12.72248,5.01728,8.352554,11.63713,3.168004,6.1067417,0.8031516226761076
161,12.48096,4.976734,7.829233,11.41905,2.929058,7.300557,0.8248595183555142
162,12.90673,5.278115,8.420902,11.8146,3.271468,4.8954025,0.8477993133163186
163,12.93713,5.389072,8.141772,11.61583,3.07084,4.6472217,0.9630268138938318
164,12.75937,4.828314,8.196988,11.8245,3.034472,7.2234101,0.8959420437061436
165,13.05301,5.356586,8.501063,11.82913,3.360723,6.995499,0.8935691421601032
166,12.78091,5.181784,7.959276,11.34901,2.946542,6.6260725,0.9643704862340803
167,12.72783,5.438079,8.384119,11.58464,2.944965,7.2254361,0.9140339461089462
168,12.93493,5.393628,8.265136,11.73407,3.094672,6.493058,0.9501173436647141
169,12.52875,5.204007,7.946264,11.28524,2.869602,6.8608708,0.8906526186880699
170,12.31588,4.969813,8.277666,11.21507,2.790551,5.4440986,0.7699317972534027
171,12.9083,5.379897,7.763021,11.77886,3.12676,6.5043692,0.9491232550881963
172,12.24407,5.056246,8.011024,11.09756,2.56418,5.9261975,0.8718522038972544
173,13.36193,5.416101,8.326517,12.2099,3.458837,6.3057734,0.966457507889099
174,12.82307,5.361292,8.164795,10.97276,3.095125,5.6118337,0.9561851271176565
175,12.45943,5.214936,8.1545,11.43306,2.926918,6.2363623,0.7773249935573462
176,12.56738,5.517453,8.276903,11.3991,2.947067,7.9119564,0.8303118532694601
177,12.9319,5.525453,8.058328,11.76064,3.329343,7.1603874,0.8624204224403255
178,12.78138,5.31812,8.123261,11.31305,3.020913,5.7539436,0.9460627285759556
179,12.43395,5.288267,7.833204,11.70588,2.810005,7.1802338,0.812969352271124
180,12.91396,5.549076,7.924434,11.49213,3.356897,6.9447884,0.8751753276023562
181,12.70088,5.549076,7.927685,11.66371,3.14329,6.4104455,0.8162672757748667
182,12.7263,4.890349,8.219865,11.33624,2.872434,6.1422209,0.9615686703435148
183,12.50705,4.867535,7.859027,11.54454,2.915064,5.5230334,0.8375854606043368
184,12.59238,5.442418,8.174421,11.39066,2.899221,7.6355317,0.8846789721706043
185,12.48341,5.135798,7.977968,11.37055,2.87976,7.0994994,0.843194777419661
186,12.84463,5.135798,8.040447,11.64713,3.092859,5.2151537,0.9355402419612568
187,12.77371,5.135798,8.045909,11.68755,2.959587,6.0803121,0.9437860730513657
188,12.3843,5.288267,8.289539,11.36649,2.885917,12.795243,0.7423239165615246
189,12.65482,4.812184,8.159375,11.4222,2.936513,5.1365912,0.9179788722683652
190,12.42502,5.147494,8.03106,11.16146,3.006672,9.1974434,0.7534569631727174
191,12.5823,4.927254,8.13564,11.37003,3.06152,7.4284569,0.8096514190624807
192,12.96251,5.513429,7.951207,11.57699,3.219676,5.6245066,0.9465079456831537
193,12.58784,5.153292,8.075893,11.1892,2.910719,6.4563841,0.9101199184446378
194,13.1576,5.332719,7.955074,12.07577,3.458837,6.5617196,0.9229973641485443
195,12.91442,5.594711,8.254008,12.12918,3.174297,8.127785,0.873477959991162
196,12.61395,5.192957,7.995644,11.76798,2.890372,5.0068261,0.8822393012852348
